Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
45312;ESTIVAS NOVO PRADO CL 514;ESTIVAS NOVO PRADO LTDA;08.029.696/0003-52;221,275;199,701;230,859;227,971;236,026;211,717
45321;RESICONTROL CL 514;RESICONTROL SOLUCOES AMBIENTAIS S.A. EM RECUPERACAO JUDICIAL;00.957.744/0001-07;131,953;124,845;143,195;114,214;157,597;0,000
45375;HOSPITAL MAICE CL 514;ASSOCIACAO FRANCO BRASILEIRA;33.543.356/0020-93;134,002;121,768;137,408;111,880;113,780;109,797
45377;GERMER PR CL 514;GERMER PORCELANAS FINAS S.A.;75.801.936/0001-10;281,292;268,942;308,799;276,622;309,153;283,379
45386;SUPERFIOS CL 514;SUPERFIOS TEXTIL LTDA;01.912.239/0001-09;650,268;613,093;684,573;636,940;656,726;661,055
45394;ASK TRADING CL 514;ASK TRADING IMPORTACAO E EXPORTACAO LTDA;08.335.198/0002-57;183,126;164,641;192,301;191,706;223,564;257,470
45395;GUAIRA NESP;LATICINIOS GUAIRA LTDA.;04.781.257/0001-89;324,895;283,290;321,580;274,035;283,420;265,693
45406;REFRIMATE CL;REFRIMATE ENGENHARIA DO FRIO LTDA;03.379.983/0001-07;171,491;250,191;303,200;234,185;267,412;238,912
45410;FRIZZO PAVERAMA CL;LATICINIOS PINHALENSE LTDA.;02.425.993/0003-30;2,950;2,538;2,878;2,909;2,844;2,809
45412;ARVAL CL 514;ARVAL BENEFICIAMENTOS TEXTEIS S/A;17.713.089/0001-36;391,038;387,331;486,860;435,291;459,308;444,387
45419;SBB CL 514;SOCIEDADE BIBLICA DO BRASIL;33.579.376/0001-51;276,822;271,178;277,710;243,200;275,342;227,927
45427;AMBONIALIMENTOS CL 514;AMBONI ALIMENTOS LTDA;09.409.634/0001-77;164,891;143,362;190,848;201,997;241,097;187,154
45436;TERRACO SHOPPING CL 514;CONDOMINIO DO COMPLEXO COMERCIAL TERRACO SHOPPING;03.543.443/0001-17;155,329;151,500;164,673;158,280;151,722;139,305
45446;SESPO CL 514;SESPO INDUSTRIA E COMERCIO LIMITADA;50.464.692/0001-05;228,541;202,874;229,933;221,374;251,109;240,926
45448;PRENSA INDUSTRIA CL 514;PRENSA INDUSTRIA METALMECANICA LTDA;73.322.430/0001-01;178,039;214,343;228,369;202,674;229,656;219,773
45453;MGPET CL 514;MGPET INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTDA;10.712.606/0001-03;165,914;165,626;199,102;116,227;148,431;112,924
45454;KITCHENS CL 514;KITCHENS INDUSTRIA E COMERCIO LTDA;60.848.991/0001-99;231,259;211,870;229,909;170,718;209,856;216,452
45466;BOVIMEX CL 514;BOVIMEX - COMERCIAL LTDA;52.035.581/0001-09;145,649;135,030;165,524;158,571;162,306;156,126
45479;COLEGIO SANTA CRUZ CL 514;CONGREGACAO DE SANTA CRUZ;60.993.193/0002-31;99,927;148,652;170,165;121,921;134,516;118,134
45494;HIPERCOR CL 514;NACIONAL ARCO-IRIS INDUSTRIA E COMERCIO DE TINTAS LTDA;09.320.639/0001-29;1,493;0,000;0,000;0,000;0,000;0,000
45495;AABREU CL 514;A ABREU BENEFICIAMENTOS LTDA;01.585.178/0001-04;125,101;114,643;141,391;115,739;128,571;114,002
45498;NUTRATTA CL 514;NUTRATTA NUTRICAO ANIMAL LTDA;17.316.559/0001-28;293,694;263,184;281,944;288,983;317,136;284,959
45501;MAGNAGHI AERO CL 514;MAGNAGHI AERONAUTICA DO BRASIL INDUSTRIA E COMERCIO LTDA;57.069.650/0001-00;173,118;171,595;210,812;172,711;181,633;165,857
45514;PIFPAFCON CL 514;RIO BRANCO ALIMENTOS S/A;05.017.780/0003-68;448,830;409,838;406,289;463,799;400,541;386,623
45528;KRONA ACESSORIOS CL 514;KRONA ACESSORIOS HIDRAULICOS LTDA.;08.466.448/0001-07;179,939;195,114;223,673;179,416;215,271;197,227
45535;HM HM SUPERMERCADOS CL 514;HM HM SUPERMERCADOS LTDA;02.299.215/0001-80;117,122;112,285;122,620;111,829;113,097;104,305
45537;MALHARIA PRINCESA CL 514;MALHARIA PRINCESA SA;84.685.056/0001-17;250,232;295,318;346,050;301,280;339,315;348,824
45539;DIKLATEX CL 514;DIKLATEX INDUSTRIAL TEXTIL S/A;72.020.118/0001-92;308,769;452,467;471,750;398,147;465,726;437,566
45562;BEFITEX CL 514;BEFITEX BENEFICIAMENTO DE FIOS TEXTEIS LTDA;52.022.134/0001-07;200,905;225,010;138,921;131,716;104,408;155,458
45585;ELSTER CL 514;ELSTER MEDICAO DE AGUA LTDA.;21.581.509/0001-45;23,525;16,610;15,151;12,665;10,374;8,996
45604;BALTEAU CL 514;BALTEAU PRODUTOS ELETRICOS LTDA.;13.434.970/0001-47;453,072;453,377;486,926;475,222;537,157;493,524
45606;JOHN BEAN CL 514;JOHN BEAN TECHNOLOGIES MAQUINAS E EQUIPAMENTOS INDUSTRIAIS LTDA.;09.688.218/0001-55;183,266;181,347;197,219;165,565;173,097;172,518
45630;COOPNOROESTE CL 514;COOPNOROESTE - COOPERATIVA AGROPECUARIA DO OESTE DE MATO GROSSO LTDA;03.548.401/0001-79;357,313;297,139;326,814;293,406;286,639;265,845
45639;SAMA MG CL 514;SAMA SANTA MARTA SIDERURGIA LTDA;19.881.671/0001-37;556,344;531,112;612,848;560,294;618,917;644,803
45642;SENIOR SISTEMAS CL 514;SENIOR SISTEMAS S/A;80.680.093/0001-81;141,275;134,629;153,920;109,280;117,408;102,815
45645;VIA SCARPA I5;INDUSTRIA E COMERCIO DE CALCADOS VIASCARPA LTDA;85.275.386/0001-05;74,112;89,707;107,292;91,849;96,225;91,340
45654;ECOPONTE CL 514;CONCESSIONARIA PONTE RIO-NITEROI S.A. - ECOPONTE;22.163.297/0001-49;200,505;190,103;209,984;185,673;188,880;180,180
45655;HOSP SANTA CATARINA CL 514;HOSPITAL SANTA CATARINA;01.880.344/0001-03;390,326;339,205;369,506;299,573;301,844;286,980
45666;C CL EMPLASTIC;EMPLASTIC INDUSTRIA E COMERCIO DE PLASTICOS LTDA;20.013.983/0001-08;285,774;244,864;315,355;251,187;254,880;176,038
45668;SIDOR CL 514;SIDOR INDUSTRIA E COMERCIO LTDA;61.064.846/0001-80;110,297;105,483;114,873;108,858;118,272;109,328
45674;LOGHAUS I5;LOGHAUS COMERCIO DE ARTIGOS DO VESTUARIO LTDA;80.462.138/0001-41;162,600;142,070;149,641;115,229;122,944;108,276
45679;VIDROS BELEM CL 514;VIDROS COMERCIO E INDUSTRIA BELEM LIMITADA;33.052.515/0003-56;42,282;27,260;43,913;35,266;40,874;43,796
45683;CSFX CL 514;FUNDACAO EDUCACIONAL SAO FRANCISCO XAVIER;11.508.880/0001-28;26,537;61,516;78,879;51,683;41,119;31,686
45684;NETAFIM CL 514;NETAFIM BRASIL SISTEMAS E EQUIPAMENTOS DE IRRIGACAO LTDA.;00.549.740/0001-81;334,427;398,504;465,420;432,767;442,019;430,028
45686;CIACARNE ALIMENTOS CL 514;FRIGORIFICO SAO JOAQUIM LTDA;07.946.019/0001-74;315,695;0,000;0,000;0,000;0,000;0,000
45700;SAKURA TECH CL 514;SAKURA TECH BRASIL FERRAMENTARIA E MOLDAGEM PLASTICA LTDA;13.233.468/0001-78;361,411;355,920;388,008;330,674;360,705;339,839
45718;ARCOM CL 514;ARCOM S/A;25.769.266/0001-24;132,776;121,866;143,673;127,100;125,844;115,491
45731;LABEL PACKING CL 514;LABEL PACKING INDUSTRIA DE EMBALAGENS DA AMAZONIA LTDA;17.179.228/0001-93;349,253;323,722;366,123;231,920;319,749;273,323
45742;G13 MADEIRAS CL 514;G 13 MADEIRAS LTDA;04.167.644/0001-20;243,783;338,570;389,209;313,520;392,489;373,465
45756;INDUSTRIAL PAGE LTDA CL 514;INDUSTRIAL PAGE LTDA;82.563.321/0001-69;281,678;254,681;255,289;195,431;251,726;266,822
45758;QUALYTUBO CL 514;QUALYTUBO INDUSTRIA E COMERCIO DE TUBOS LTDA.;05.601.998/0001-01;261,771;215,167;239,004;197,354;225,865;205,385
45793;BLUE FOREST CL 514;BLUE FOREST INDUSTRIA E COMERCIO LTDA;09.174.455/0001-06;165,476;163,245;184,175;0,000;0,000;0,000
45823;ARROZ NUTRIPAR CL 514;CURIONI & BIOLLO LTDA;72.094.758/0001-47;363,755;334,936;397,615;272,330;241,938;290,327
45828;BRESCO CL 514;ASSOCIACAO MANTENEDORA DO BRESCO CONTAGEM PARQUE LOGISTICO;27.608.360/0001-27;152,834;122,161;145,783;134,693;145,127;144,253
45855;3PL LOGISTICA CL 514;3PL BRASIL LOGISTICA S.A.;23.429.671/0001-78;430,005;406,367;445,734;412,197;425,539;397,240
45862;BOOMERA CL 514;BOOMERA AMBIPAR ENVIRONMENTAL PARANA LTDA;26.611.091/0001-95;27,509;24,651;28,350;25,169;26,542;28,436
45864;TANCAL CL 514;COMERCIO E INDUSTRIA DE CAL TANCAL LTDA;76.214.022/0001-16;227,462;245,783;287,263;233,094;327,041;312,824
45871;ULIANA CL 514;ULIANA INDUSTRIA METALURGICA LIMITADA;59.298.091/0001-36;332,726;308,016;377,647;313,446;356,217;343,616
45878;FLAMINGO CL 514;CONDOMINIO FLAMINGO;03.841.348/0001-08;106,065;100,804;118,167;86,508;82,402;70,538
45899;ALTO ALEGRE I5;LATICINIO DANIEL COLLE LTDA;04.421.375/0001-86;451,957;401,446;446,595;387,787;419,431;410,151
45902;COMIL COVER CL 514;COMIL COVER SAND INDUSTRIA E COMERCIO LTDA;00.653.149/0002-50;194,918;186,912;233,183;179,540;201,084;208,094
45946;8 EMBALAGENS CL;8 EMBALAGENS PLASTICAS LTDA;11.032.345/0001-43;227,262;218,420;277,821;217,261;227,484;206,042
45947;TECTRON CL 514;TECTRON IMPORTADORA E EXPORTADORA DE PRODUTOS VETERINARIOS LTDA;05.140.162/0001-49;71,814;60,513;71,377;63,748;71,601;61,736
45951;MTA I5;M T A INDUSTRIA E COMERCIO DE ARTEFATOS DE INOX LTDA;85.478.857/0001-74;102,430;80,823;99,286;87,030;59,174;58,105
45956;CASA SANTA LUZIA CL 514;CASA SANTA LUZIA IMPORTADORA LTDA;59.350.116/0001-01;294,242;278,035;313,855;275,141;280,481;262,563
45967;IGP CL 514;IGPECOGRAPH INDUSTRIA METALURGICA LTDA;60.397.445/0001-89;421,026;423,065;361,761;304,224;357,226;319,535
45980;ORIUNDI SUPERMERCADOS CL 514;ORIUNDI SUPERMERCADOS LTDA;27.555.390/0001-12;206,598;194,715;219,498;193,920;192,868;182,712
45993;MUNDOCAR I5;CONDOMINIO MUNDOCAR SHOPPING;10.977.229/0001-34;183,812;150,443;171,193;126,762;102,797;80,837
46002;CERAMICA TROPICAL CL 514;CERAMICA TROPICAL LTDA;34.853.168/0001-61;136,438;127,145;141,125;119,283;136,234;127,552
46025;FIKA FRIO CL 514;FRUT S INDUSTRIA E COMERCIO DE GELADOS DE ALAGOAS LTDA;08.511.719/0001-07;254,150;234,475;253,164;238,152;203,096;216,842
46028;ARIAM CL 514;FAST ARIAM EQUIPAMENTOS LTDA;10.931.741/0001-40;345,869;279,771;437,646;393,592;427,212;382,461
46038;EMBALIXO CL 514;EMBALIXO INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS LTDA;19.572.597/0001-77;306,610;272,083;320,344;300,999;416,274;412,001
46040;LOJAO DO BRAS CL 514;LOJAO DO BRAS LTDA;71.831.721/0001-91;86,786;82,269;95,492;76,861;81,005;76,405
46053;JOLLY CL 514;JOLLY INDUSTRIA E COMERCIO DE UTILIDADES DOMESTICAS LTDA;63.991.715/0001-73;32,983;42,616;52,318;42,942;44,476;43,678
46057;C CL BIOMECANICA;BIOMECANICA INDUSTRIA E COMERCIO DE PRODUTOS ORTOPEDICOS LTDA.;58.526.047/0001-73;79,314;74,333;85,823;61,987;59,518;47,351
46061;TVT VIDROS CL 514;T.V.T. INDUSTRIA E COMERCIO DE VIDROS TEMPERADOS LTDA;05.259.325/0001-07;65,230;60,611;81,440;70,688;82,541;85,062
46069;RCN CL 514;RIOCIDADENOVA ADMINISTRACAO E LOCACAO DE BENS LTDA;10.276.113/0001-78;102,730;99,495;117,304;89,696;86,971;77,751
46072;REGINA FESTAS CL 514;REGINA INDUSTRIA E COMERCIO S/A;52.005.378/0006-96;106,510;82,767;88,911;70,592;67,451;65,665
46075;GRAFIGEL CL 514;GRAFIGEL EMBALAGENS LTDA EM RECUPERACAO JUDICIAL;02.702.496/0001-70;189,002;169,011;203,726;167,124;182,713;208,846
46085;FIOS BEM BRASIL CL;FIOS BEM BRASIL LTDA;20.432.216/0001-33;312,118;303,466;355,794;289,675;327,058;260,492
46109;VESUVIUS REFRATARIOS CL 514;VESUVIUS REFRATARIOS LTDA;30.511.844/0009-15;126,659;111,495;133,820;116,595;134,149;123,743
46122;PROEZA CL 514;PETROPOLIS INDUSTRIAL PRODUTOS DE LIMPEZA LTDA;02.312.244/0001-35;139,082;117,568;138,538;113,216;97,312;152,503
46126;ART SUL CL 514;ART SUL MARMORES E GRANITOS LTDA;39.378.237/0001-46;49,700;77,360;78,457;58,900;60,728;65,300
46127;PEALE MOVEIS CL 514;PEALE INDUSTRIA E COMERCIO DE MOVEIS S/A;01.962.011/0001-15;60,376;75,688;85,405;67,144;79,494;69,085
46135;ECOBRIX UBERLANDIA CL 514;ECOBRIX BRITAGEM E USINAGEM LTDA;18.675.364/0001-37;151,263;142,087;85,338;169,115;193,013;198,380
46139;BOMPASTOR CL 514;BOM PASTOR PAPEIS LTDA;16.772.642/0001-49;433,957;420,174;435,799;397,982;431,622;383,199
46140;COEX NESP;COEX INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;07.626.763/0001-91;285,300;301,240;341,198;302,830;364,426;363,909
46147;SANTA INES CL 514;INDUSTRIA DE EMBALAGENS SANTA INES S.A.;61.602.033/0001-04;114,979;134,503;160,781;142,301;168,012;146,895
46175;RAYMUNDO DA FONTE CE CL 514;INDUSTRIAS REUNIDAS RAYMUNDO DA FONTE SA;11.507.415/0007-68;355,615;340,035;386,070;395,685;429,354;412,546
46183;C CL MINERACAO ITAPEVA;MINERACAO ITAPEVA LTDA;45.851.169/0001-93;158,571;183,500;176,456;172,263;158,927;123,555
46188;C CL DG POLIMEROS;D.G. RECICLAGEM DE PLASTICOS LTDA;05.817.712/0001-11;140,672;145,258;176,304;168,110;183,250;155,434
46192;PARANAGRAN CL 514;PARANAGRAN INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA;05.522.796/0001-66;81,825;93,329;129,587;151,312;129,357;143,215
46209;FA VARGEM GRANDE CL 514;SANTA IZABEL ALIMENTOS LTDA;03.779.994/0009-31;208,658;211,760;214,182;182,523;185,859;169,516
46265;FANIA CL 514;FANIA COMERCIO E INDUSTRIA DE PECAS LTDA.;57.006.983/0004-33;53,383;34,138;48,610;43,851;53,080;50,105
46275;MACCRO EMBALLAGE CL 514;MACCRO EMBALLAGE INDUSTRIA E COMERCIO LTDA;00.316.355/0001-94;303,824;259,700;277,196;283,129;299,487;307,803
46289;COMING CL 514;COMING INDUSTRIA E COMERCIO DE COUROS LTDA EM RECUPERACAO JUDICIAL;00.129.569/0001-51;268,046;221,781;288,338;259,224;286,799;255,571
46327;LMP CL 514;LAMINACAO DE METAIS PAULISTA LTDA;46.311.965/0001-04;194,821;224,098;252,229;196,108;235,676;242,499
46330;PAMPA CL 514;PAMPA EXPORTACOES LTDA;15.290.315/0001-98;256,092;102,188;311,519;263,745;306,309;226,051
46336;IRIZAR CL 514;IRIZAR BRASIL LTDA.;02.301.582/0001-71;60,549;172,784;205,781;154,749;194,055;175,527
46340;C CL GRAMOLA;GRAMOLA FUNDICAO LTDA;68.418.599/0001-11;129,298;120,944;138,210;96,380;139,306;121,986
46341;EACIAL CL 514;EACIAL EQUIP E ACESSORIOS INDUSTRIAIS E AGRIC LTDA;54.363.569/0001-40;117,000;116,036;135,823;109,826;119,693;114,489
46347;HONPAR NESP;ASSOCIACAO NORTE PARANAENSE DE COMBATE AO CANCER;04.169.712/0001-90;183,248;158,391;193,839;154,837;133,461;129,904
46352;CURTUME KOEFENDER CL 514;CURTUME KOEFENDER S/A;91.155.440/0001-73;159,209;137,034;183,502;156,049;94,834;108,061
46369;APMT SERVICOS CL 514;APMT SERVICOS RETROPORTUARIOS LTDA;08.023.230/0001-88;116,540;107,521;121,765;97,238;108,008;105,181
46407;NUTRIVITA CL 514;NUTRIVITA NUTRIMENTOS VITORIA LTDA;27.297.290/0001-33;129,479;116,152;153,510;126,074;156,614;151,810
46423;FMN CL 514;FAMOSSUL MADEIRAS NORDESTE LTDA;21.034.799/0001-07;118,078;113,929;137,261;131,615;145,881;140,390
46454;OUROFORM CL 514;OUROFORM FORMULARIOS LTDA;04.568.247/0001-60;88,865;109,125;117,950;87,425;120,990;111,902
46455;BLUE TREE MANAUS CL 514;CONDOMINIO DO EDIFICIO SENSE APART HOTEL;11.530.031/0001-70;103,378;87,941;108,940;107,068;126,396;120,860
46461;SUPERFLEX PNEUS NESP;SUPERFLEX PRODUTOS DE BORRACHA LTDA;05.034.914/0001-97;22,499;14,158;22,433;19,045;24,631;21,444
46471;SERRARIA POLETTI CL 514;SERRARIA POLETTI LTDA;45.290.681/0001-08;63,914;58,259;69,180;54,843;61,405;66,944
46479;SANTIAGO - CEU AZUL CL;SANTIAGO & CIA. LTDA.;17.188.590/0001-20;75,818;86,922;104,188;79,235;77,045;76,207
46492;BAIA VERDE CL 514;SPUNFLEX INDUSTRIA DE PLASTICOS LTDA;26.299.367/0001-41;229,978;224,854;253,377;278,426;315,907;377,636
46508;BERNA ALIMENTOS CL 514;BRASALIMENT INDUSTRIA E COMERCIO DE CARNES LTDA;61.336.194/0001-95;177,413;161,722;184,132;162,995;169,157;159,587
46511;REIMOLD CL 514;REIMOLD INDUSTRIA E COMERCIO DE MATERIAIS PLASTICOS LTDA;05.069.183/0001-15;68,533;67,603;89,421;64,581;80,545;74,722
46520;RIO POTY HOTEL CL 514;HOTEL RIO POTY S A;05.819.867/0001-97;112,561;116,022;127,790;130,961;161,461;145,355
46522;IBRATEC CL 514;IBRATEC INDUSTRIA BRASILEIRA DE ARTEFATOS TECNICOS LTDA;62.154.521/0001-50;103,492;106,410;120,319;91,923;105,054;96,496
46530;CBL CL 514;COMPANHIA BRASILEIRA DE LITIO;21.624.671/0001-01;692,530;811,724;965,988;702,328;990,106;946,615
46531;DOM MIRO CL 514;INDUSTRIA DE LATICINIOS DOM MIRO LTDA;30.786.393/0001-71;117,223;105,438;122,267;101,845;96,736;100,566
46535;HM INDUSTRIA CL 514;HM INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;08.753.155/0001-00;140,223;137,582;111,038;92,412;128,796;95,865
46537;PLASTICOS MASSINI CL;PLASTICOS RENATO MASSINI LTDA;96.209.382/0001-37;165,113;180,671;219,730;173,669;202,020;186,661
46564;UNIVERSAL CHEMICAL CL 514;UNIVERSAL CHEMICAL LTDA;64.834.013/0001-49;236,512;205,768;245,525;201,499;240,844;220,674
46570;COLORMAQ VISAO CL 514;COLOR VISAO DO BRASIL INDUSTRIA ACRILICA LIMITADA;47.747.969/0003-56;248,993;298,285;232,816;274,553;330,292;322,272
46585;SUPERMERCADO VITOR CL 514;CHAPADA COMERCIO DE ALIMENTOS LTDA;79.578.068/0001-02;291,912;268,415;298,273;273,636;277,006;264,765
46587;APERAM INOX NESP;APERAM INOX SERVICOS BRASIL LTDA.;60.500.121/0013-68;217,124;214,386;235,406;216,333;249,964;238,536
46608;MEGA ALUMINIO CL 514;CSSB ALUMINIOS LTDA;08.593.896/0001-71;65,284;84,373;90,344;83,248;94,124;78,557
46620;PRO METAL CL 514;PRO-METAL INDUSTRIAL LTDA;65.784.142/0001-32;196,454;192,250;237,006;196,241;215,449;188,916
46629;BREAD KING CL 514;BREAD KING ALIMENTOS LTDA;08.474.768/0001-09;400,142;367,361;431,717;349,725;394,949;368,223
46630;ARENA IPANEMA CL 514;ARENA IPANEMA HOTEL LTDA;15.576.251/0001-96;76,595;74,514;84,817;69,115;62,978;58,882
46632;ARENA LEME CL 514;ARENA LEME HOTEL LTDA;14.949.199/0001-03;123,219;126,485;127,026;95,423;84,242;75,186
46639;MAYZEER CL 514;MAYZEER MALHARIA LTDA;02.209.188/0001-08;187,129;188,982;226,438;191,196;230,677;227,335
46640;UMAFLEX CL 514;UMAFLEX INDUSTRIA DE MOVEIS COLCHOES E ESPUMAS LTDA;07.888.508/0001-17;190,677;161,087;136,403;152,414;172,629;124,926
46644;OKE CL 514;OKE DO BRASIL MATERIAIS SINTETICOS LTDA.;10.473.626/0001-79;145,283;119,372;141,989;116,669;134,809;133,222
46654;PAULISTEX INDUSTRIAL CL 514;PAULISTEX INDUSTRIAL LTDA;01.800.067/0001-73;243,358;152,192;214,986;234,776;251,111;156,232
46657;PERSONAL GLASS CL 514;VIDROMIR INDUSTRIA E COM. DE VIDROS TEMPERADOS LTDA;00.713.282/0001-74;193,220;186,007;235,406;191,479;223,844;216,523
46658;PETPOLYMERS CL 514;PETPOLYMERS INDUSTRIA COMERCIO IMPORTACAO DE PLASTICOS LTDA.;23.090.790/0001-49;410,636;266,238;477,162;460,413;421,545;407,377
46679;CEOLIN CL 514;GENESIO CEOLIN E CIA LTDA;88.132.279/0001-08;94,912;82,460;288,919;119,227;84,969;64,759
46687;C CL JC METALS;JC METALS METALURGICA LTDA;09.479.492/0001-14;158,542;165,100;191,046;127,366;152,099;131,719
46707;ALBERT SABIN ATIBAIA CL 514;ALBERT SABIN HOSPITAL E MATERNIDADE LTDA;04.275.687/0001-29;178,752;168,451;198,287;153,442;141,932;123,261
46713;ANIMA CATALANA CL 514;SOCIEDADE CATALANA DE EDUCACAO LTDA;05.373.130/0001-93;15,000;21,081;30,891;21,879;19,749;14,453
46714;ABATEDOURO BOM JESUS CL 514;ABATEDOURO BOM JESUS LTDA;77.606.911/0001-91;223,136;202,390;231,357;183,768;204,026;171,000
46717;BRAZPOL CL 514;BRAZIL RECUPERADORA POLIMEROS LTDA;26.878.725/0001-70;96,068;11,129;8,437;7,510;9,156;8,949
46726;AMAGIL CL 514;NHSILVA INDUSTRIA E EXPORTACAO LTDA;12.082.881/0001-16;247,946;246,417;268,467;244,223;275,459;174,550
46731;MINERACAO NS CARMO CL 514;MINERACAO NOSSA SENHORA DO CARMO LTDA;83.647.750/0001-87;258,200;248,966;311,208;215,928;176,658;213,147
46739;REQUIPH METALURGICA CL 514;REQUIPH METALURGICA LTDA;09.006.020/0001-44;444,052;440,920;489,481;413,511;417,621;385,392
46742;ARKEMA COATEX BR CL 514;ARKEMA COATEX BRASIL INDUSTRIA E COMERCIO LTDA.;16.516.586/0002-62;140,508;126,377;136,722;129,832;119,299;118,575
46768;CROMOVILLE CL 514;CROMOVILLE INDUSTRIA E COMERCIO LTDA;03.132.472/0001-96;121,958;93,269;121,596;110,081;113,795;113,837
46778;BS METALURGICA CL 514;BS INDUSTRIA E COMERCIO DE PRODUTOS METALURGICOS LTDA;08.532.688/0001-62;123,277;113,890;131,854;113,018;117,489;115,644
46787;INDUSTRIA MENEGHEL CL 514;MENEGHEL INDUSTRIA TEXTIL LTDA;43.248.863/0001-95;227,684;223,542;250,455;198,769;234,715;210,658
46790;JAMAICA CL 514;JAMAICA INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA;62.157.094/0001-64;78,540;67,253;91,636;74,468;89,923;83,249
46818;PRIME MADEIRA CL 514;PRIME INDUSTRIA E COMERCIO DE MADEIRA LTDA;15.285.907/0001-11;93,860;80,053;66,257;60,011;82,866;77,572
46835;UNIFIP CL 514;CENTRO EDUCACIONAL DE ENSINO SUPERIOR DE PATOS LTDA;19.768.173/0001-82;83,232;131,630;167,135;131,578;169,232;107,873
46843;CW INDUSTRIAS CL;CW ARMAZEM GERAL E COMERCIO LTDA;00.477.367/0001-09;311,348;241,214;0,000;0,000;0,000;0,000
46849;CONCREMWOOD CL 514;CONCREM INDUSTRIAL LTDA;18.543.638/0001-34;172,890;148,823;185,618;123,295;207,123;201,627
46851;RIACHO VERDE CL 514;CONDOMINIO RIACHO VERDE;20.130.075/0001-02;67,948;59,695;69,123;61,229;67,876;60,722
46855;ENGARRAFAMENTO PITU CL 514;ENGARRAFAMENTO PITU LTDA;11.856.283/0001-94;299,014;247,382;306,269;269,970;303,617;273,623
46869;NUTRI SAM;SUPERMERCADO NUTRI SAM LTDA.;09.535.928/0001-45;154,670;140,235;156,037;138,992;123,252;165,171
46892;PET FOOD CL 514;PET FOOD SOLUTION INDUSTRIA, COMERCIO, IMPORTACAO, EXPORTACAO DE PRODUTOS E ARTIGOS PARA ANIMAIS LTDA;10.512.126/0001-07;117,652;132,386;141,935;124,806;133,704;133,356
46900;ACURATE CL 514;ACURATE INDUSTRIA E COMERCIO LTDA;17.366.976/0004-28;272,199;252,295;296,721;272,940;267,369;231,238
46903;OESA RS CL 514;OESA COMERCIO E REPRESENTACOES S/A;81.611.931/0010-19;189,252;164,078;180,364;156,056;152,975;148,034
46904;HIKARI CL 514;HIKARI INDUSTRIA E COMERCIO LTDA.;61.155.511/0001-77;38,927;24,349;39,287;37,675;37,011;39,279
46912;COSTA NORTE CL 514;C NORTE PESCADOS LTDA;17.073.053/0001-35;354,342;317,018;327,503;362,607;397,043;411,400
46919;SERGYENE CL 514;SERGYENE INDUSTRIA E COMERCIO LTDA;01.478.812/0001-00;151,208;112,872;111,634;98,380;123,672;119,377
46938;SUVIFER CL 514;SUVIFER INDUSTRIA E COMERCIO DE FERRO E ACO LTDA.;62.088.828/0001-09;29,989;40,518;80,204;66,156;76,711;52,644
46948;ABB ELETRIFICACAO CL 514;ABB ELETRIFICACAO LTDA;33.449.988/0001-20;241,959;248,046;307,981;269,775;287,944;229,228
46967;UNIMED MARINGA NESP;UNIMED REGIONAL MARINGA - COOPERATIVA DE TRABALHO MEDICO;76.767.219/0001-82;115,545;100,109;123,112;98,605;96,168;83,150
46969;TPC CL 514;PRONTO EXPRESS LOGISTICA SA;03.867.580/0026-65;81,310;69,529;73,917;68,197;70,856;67,319
46972;ARAMES TOP NESP;ARAMES TOP INDUSTRIAL LTDA;06.863.668/0001-49;86,206;64,703;65,748;55,674;80,378;59,726
46983;BARBOSA E CIA CL 514;BARBOSA & CIA LTDA;17.077.702/0012-29;342,337;299,626;364,317;339,388;291,360;311,754
47011;DVG CL 514;DVG INDUSTRIA DE CONCRETO CELULAR LTDA;34.651.228/0001-63;47,609;81,248;100,249;85,060;96,993;104,039
47016;REPLAC CL 514;K V DE ALADIM GURGEL LTDA;06.191.675/0001-41;115,882;112,359;138,485;123,009;131,102;131,950
47017;DISK BRITA CL 514;DISK - BRITA INDUSTRIA E COMERCIO DE PEDRAS LTDA;29.209.171/0001-07;117,801;134,117;144,049;121,100;135,968;169,046
47028;MEBUKI CL 514;MEBUKI INDUSTRIA COMERCIO E EXPORTACAO LTDA;46.884.672/0001-08;174,416;160,137;191,330;174,553;193,789;193,082
47030;JACKWAL CL 514;JACKWAL S/A;92.782.366/0001-88;162,984;144,443;182,761;129,743;141,469;138,800
47032;SAFT CL 514;CARTONAGEM SAFT LTDA;97.748.917/0001-00;77,232;80,196;82,032;62,352;60,015;60,874
47033;GR QUIMICA NESP;GR INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;03.157.268/0001-20;153,136;132,968;180,716;144,078;165,013;148,091
47038;SIDERQUIMICA CL 514;SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A;73.586.976/0001-61;155,614;142,783;162,832;143,212;160,853;141,295
